key,score,en,fr,es,de,ko,ru,tl,it,nl,sw,ja,ca,ro,pl,sl,zh-cn,pt,id,no,af,vi
floor_plan,-5.0,floor plan,plan d'étage,plano de planta,grundriss,평면도,план этажа,plano sa sahig,planimetria,plattegrond,mpango wa sakafu,フロアプラン,planta,plan de etaj,plan piętra,tloris,平面图,planta baixa,denah lantai,planløsning,vloerplan,sơ đồ mặt bằng
floorplan,-5.0,floorplan,plan d'étage,plano de planta,grundriss,평면도,план этажа,floorplan,planimetria,plattegrond,mpango wa sakafu,フロアプラン,plànol,plan de etaj,plan piętra,tloris,平面图,planta baixa,denah lantai,planløsning,vloerplan,sơ đồ mặt bằng
ground_floor,-5.0,ground floor,rez-de-chaussée,planta baja,erdgeschoss,1층,первый этаж,ground floor,pianterreno,begane grond,sakafu ya chini,地上階,planta baixa,parter,parter,pritličje,一楼,térreo,lantai dasar,første etasje,grondvloer,tầng trệt
floor_plans,-5.0,floor plans,plans d'étage,planos de planta,grundrisse,평면도,планы этажей,mga plano sa sahig,planimetrie,plattegronden,mipango ya sakafu,フロアプラン,plànols de planta,planuri de etaj,plany pięter,tlorisi,平面图,plantas baixas,denah lantai,plantegninger,vloerplanne,sơ đồ mặt bằng
blueprint,-5.0,blueprint,plan,cianotipo,entwurf,청사진,план,plano,progetto,blauwdruk,ramani,青写真,plànol,planul,plan,načrt,蓝图,planta,cetak biru,blåkopi,bloudruk,bản thiết kế
elevation,-5.0,elevation,élévation,elevación,elevation,높이,высота,elevation,elevazione,hoogte,mwinuko,標高,elevació,cota,podniesienie,višina,海拔,elevação,ketinggian,høyde,hoogte,độ cao
cross-section,-5.0,cross-section,coupe transversale,sección transversal,querschnitt,단면,поперечное сечение,cross-section,sezione trasversale,doorsnede,sehemu nzima,断面,secció transversal,sectiune transversala,przekrój,prečni prerez,横截面,corte transversal,penampang,tverrsnitt,deursnee,mặt cắt ngang
architectural,-5.0,architectural,architectural,arquitectónico,architektonisch,건축,архитектурный,arkitektura,architettonico,architectonisch,ya usanifu,建築的,arquitectònica,arhitectural,architektoniczny,arhitekturni,建筑学,arquitetônico,arsitektural,arkitektonisk,argitektoniese,kiến trúc
architecture,-5.0,architecture,architecture,arquitectura,architektur,건축학,архитектура,arkitektura,architettura,architectuur,usanifu,建築,arquitectura,arhitectură,architektura,arhitektura,建筑学,arquitetura,arsitektur,arkitektur,argitektuur,ngành kiến ​​​​trúc
interior,-5.0,interior,intérieur,interior,innere,내부,интерьер,panloob,interno,interieur,mambo ya ndani,インテリア,interior,interior,wnętrze,notranjost,内部的,interior,pedalaman,interiør,binnekant,nội thất
